Big tech buzzing about Warren split plan;Warren wants to regulate tech Silicon Valley is unimpressed,By Melia Russell,2019-03-09T00:00:00Z,U.S. Federal; California; Massachusetts; Minnesota; New York; Vermont,,News,801,sen elizabeth warren introduce crowd pleasing proposal friday bid democratic presidential nomination break big technology company include amazon facebook google blog post senator massachusetts promise tech sector include undo merger enrich tech giant policy would also prevent company use service sell good service proposal mark one aggressive bid rein near trillion dollar corporation tech sector tech giant largely quiet friday around silicon valley unimpressed warren jump bandwagon blame tech societal ill bilal zuberi partner lux capital headquarters new york menlo park say email understand china break alibaba kiss american tech leadership goodbye zach tratar software engineer warren plan would put particular stricture tech company 25 billion revenue operate public marketplace exchange warren call platform utility google would force split ad search business warren also call tech giant stop transfer share datum third party amazon would able sell version popular item amazon marketplace write blog post representative amazon facebook google immediately respond request comment tech sector come fire recent year controversy relate data privacy misinformation critic say time government supervision warren proposal break big tech silicon valley need david heinemeier hansson malibu base creator ruby rails programming language friday kick scream lobby 10 year laud vision count proceed next round progress enable add david ryan polgar tech ethicist new york say warren pitch unsurprising think large issue big tech unchecked unelected power power also massively influence see world get information connect say break big tech company one possible solution say though realistically think go happen next year two member bay area tech community say proposal show little warren understand industry think intervention need industry company need define exactly harm address specific remedy propose change benedict evans partner menlo park venture firm andreessen horowitz break policy analysis doubt misfire happen say zuberi lux capital someone without economic impact analysis would come random target break company 25 billion revenue blog post warren criticize tech giant use enormous wealth snap small competitor stamp innovation say venture capitalist hesitant fund new startup bradley leimer whose consult firm unconventional ventures match startup founder funder say warren wrong service make money harvest datum discreet way next iteration platform able see light day say take could go acquire early large institution warren appear try set apart proposal harsh regulation rival include sen bernie sanders vermont sen amy klobuchar minn also take swing big tech lot people industry realize change come polgar saidthe big bigthe proposal sen elizabeth warren mass regulate big tech company would fall overwhelmingly bay area internet hardware giantsbay area company revenue 25 billionannual revenueapple cupertino2616 billionmckesson san francisco2135 billionchevron san ramon1589 billionalphabet mountain view1368 billionwell fargo san francisco1011 billionintel santa clara709 billionhp inc palo alto587 billionfacebook menlo park558 billioncisco san jose508 billionoracle redwood city398 billionhewlett packard enterprise san jose307 billionsource bloomberg,The San Francisco Chronicle (California)
Big tech can have my personal data — for now,RICH MATTA,2020-05-10T00:00:00Z,California; Ohio,,News,820,full textthere techlash wake coronavirus outbreak fact quite opposite would imagine two compete tech giant google apple work together project track people movement overwhelming majority americans actually favor yet exactly see public response coronaviru trace software currently development privacy advocate ceo online privacy company even think responsibly develop contact trace application right move favor strict datum privacy law mean use personal information time always room judicious transparent use personal information great good fight global pandemic certainly qualifie americans view around privacy shift dramatically since onset covid19 crisis 2019 axios harris poll find 69 americans consider datum privacy number one social issue tech business solve 17 approve current performance difference year make recent harris poll take covid19 crisis find vast majority americans  approve large tech company help trace contact user may people virus pandemic upend life every american seem like privacy understandably last thing everyone mind fortunately believe tech giant say  choose reasonable degree datum privacy great safety covid19 technical detail share apple google point earnest thoughtful implementation privacy forefront example system store location information rather track individual path cross infect virus use local bluetooth signal rather gps system fully opt public health authority able see anonymous bluetooth beacon datum test positive covid19 risk tech giant breach public trust particular around issue monumentally important solve covid19 crisis far outweigh near term benefit might reap hide ball apple google stand much gain long run right way appear among white knight tragic saga unfold say stop care kind privacy give tech company free rein across board unreasonable bit concerned slippery slope create within tech giant wall importantly forum public opinion consumer policymaker could easily lump use personal information bucket conclude privacy completely hold crack covid19 would huge mistake continue see torrent misuse personal information nothing current crisis like way personal datum buy sell hundred datum broker shady people search site daily basis without knowledge important policymaker use covid19 excuse slow privacy regulation enforcement regulation unrelated pandemic public private sector focus americans health retreat hard fight privacy battle already win example state recently pass groundbreake legislation california consumer privacy act rein big tech law design help consumer take back control datum big company use california attorney general xavier becerra recently say state start enforce act july 1 plan regardless pandemic heartily applaud fighting covid19 little vast majority exist propose privacy regulation sure easy walk fine line stomp malicious misuse personal datum allow well intentione purposeful use promote public health strive safely open economy intelligent measured use technology include limited amount personal information prove one ace hole apple google datum rich matta data privacy advocate chief executive officer reputationdefender global digital privacy online reputation management firm write usa today follow twitter richmatta credit rich matta,"The Daily Record (Wooster, Ohio)"
Big tech cannot police itself when it comes to misinformation,,2019-11-05T00:00:00Z,U.S. Federal; International,,News,542,facebook allow fact check political advertisement house even though need recently facebook founder mark zuckerberg testify united states congress ostensibly discuss libra facebook upcoming cryptocurrency reality zuckerberg face question lawmaker concern regard social medium giant particular heated exchange zuckerberg question neophyte congresswoman alexandria ocasio cortez facebook handle fact check political advertisement basically ocasio cortez use example hypothetical ad would say republican lawmaker favour congresswoman green new deal economic restructuring economy around reality climate change member gop certainly find zuckerberg response hypothetical inaccurate ad would fact check false statement important facebook user see politician lie present doctored fact essence facebook fact check misleading pay advertising politicians obvious concern western democracy give facebook nearly ubiquitous reach culture zuckerberg faith common person ability see misleading advertisement touch touch reality political world high stake politician side political spectrum absolutely misrepresent truth gain power gatekeeper like facebook ensure hold account mislead citizen democratic state problem interest private business shareholder please necessarily line public good untenable lawmaker expect facebook tech giant police mean federal oversight expert third party fact checkers canada anywhere facebook twitter google amazon every large tech company operate necessary yes understand regulation four letter word round part economic social political power tech giant wield potentially devastating free society question regulation look like look like sweep antitrust legislation could come effect break large tech company example facebook break separate company instagram facebook messenger whatsapp thus allow competition perhaps large commitment truth measured regulation allow third party ensure fact check compliancethe latter seem merit entirely break company like facebook would mean product million people rely could potentially water thus affect financial outcome million facebook employee case clear democracy need protect online tech company need work elect legislative body order protect citizen lie misinformation todd vaughan editor lacombe express,Bashaw Star
Big tech can save news and safeguard democracy;Is it far-fetched to thinkabout Google establishing a truly independent media platform?,Joe Gill,2017-05-06T00:00:00Z,U.S. Federal; International,,News,933,week chief executive facebook mark zuckerberg announce recruitment additional 3000 employee police hardcore video social media platform join 4500 already thing time twitter battle manage racist sexist homophobic commentary across platform google struggle control highly objectionable content youtube subsidiary far narrative social media phenomenon benign liberator free speech communication across border class worldwide underlie major issue face technology giant existential threat traditional medium business model massive suction advertising spend away legacy medium outlet ecosystem hollow traditional medium replace objective independent journalism plethora fake news unedited content rampant propaganda democracy free market system long rely fourth estate provide counter balance power structure open transparent medium pepper integrity democracy operate around electoral cycle allow citizen make political decision base fact proper analysis absence perspective field open loud aggressive voice room backdrop big tech need consider position medium world pressing need enormous highly profitable company invest truly independent medium platform would reinvigorate role medium society would also make commercial strategic sense technology company independent imagine would require effective independent medium platform would necessitate team professional journalist focus politic business sport minimum would equip high tech system facilitate writing editing disseminate content across primarily digital platform 247 cycle long form short form article could design issue meet vary consumer preference physical daily newspaper increasingly hamstring cost print run inconvenience decline continue mobile device grow value capability new medium adapt structural fact position accordingly see hint already happen jeff bezos founder amazon invest washington post focus pivot away physical newspaper towards online distribution editor journalist give clear mandate produce world class journalism washington post enjoy buoyant circulation wake trump administration continue rely bezos financial stability time giant technology step forward far fetched think google funding establish truly independent medium platform unreasonable consider facebook invest new medium room much believe apple purchase ailing title reawaken mobile device dependent pulitzer prize win medium entitythese three company combine stock market capitalisation 19 trillion would cost create powerful independent medium team fully invest platform cover entire us market example would cost 100 million probably much less content distribute online would 00005 per cent group stock market value return would help rebalance dysfunctional news market fundamentally distort business model suggestion propose form charity company commercial interest ensure online information system integrity accept individual politician regulator furthermore company could provide independent journalism via network apple example rejuvenate boston globe distribute free apple customer would help hinder brand google troubled sydney morning herald make content free user would add detract value core facebook buy energise le monde would good bad thing owner reader alike like traditional medium business decline legacy cost structure fundamental shift consumer towards mobile device destroy reliable source independent journalism journey may lead elimination journalism integrity unless new paradigm develop global company resource fix strategic interest require leap faith make happen keep hear leader global company household name profess profound support democracy free speech social engagement yet business model lie heart vortex threaten freedom without hard action tangible investment sentiment express hollow ultimately hypocritical new flank battle collapse independent journalism urgently need joe gill director corporate broking goodbody stockbrokers view personal,The Irish Times
Big Tech can't be trusted. It's time for regulation,By Mike Chapple for CNN Business Perspectives,2019-04-30T00:00:00Z,U.S. Federal,,News,810,big tech spotlight good reason past couple year onslaught incident shake public confidence major technology firm facebook apologize allow cambridge analytica harvest personal information 80 million user google shut social network wake report fail disclose serious security vulnerability could reveal private information many 500000 user company say find evidence datum actually misuse couple month later marriott announce data breach affect 500 million individualsit become clear big tech trust govern time regulator step michael beckerman president ceo internet association technology industry lobbying group speak milken institute global conference week remind attendee technology force good improve life true doubt artificial intelligence transform medicine online learning democratize education technology business create economic opportunity earn industry free pass justify bad behavior inadequate privacy practice follow coverage milken institute global conference consumer justifiably lose confidence big tech yougov survey release last week show 80 americans trust facebook google dropbox seem like time major privacy scandal hit news congress hold another series hearing grim faced politician cluelessly question smug technology executive nothing change decade since congress pass last major privacy law united states 2010 update health care privacy requirement privacy law woefully inadequate target specific use specific category information health insurance portability accountability act prevent doctor share medical record without consent stop apple share health information apple watch apple good track record come privacy maker iphone app accuse share health information facebook gramm leach bliley act prevent bank share financial record apply facebook amazon express interest enter financial space united states lack kind comprehensive privacy law would grant individual control information wherever reside big tech worry regulation costly interfere growth consumer mean assert control datum balanced regulatory regime impossible fantasy european union make great stride toward goal implementation general data protection regulation gdpr law apply broad category personal information across industry offer individual basic protection require company obtain consent collect personal information disclose use information collect provide mechanism consumer request deletion personal information corporate file gdpr also require company promptly disclose datum breach regulator affected individual gdpr go effect last year still early see real impact early indication law positive impact globally within european union seek comply gdpr apple roll privacy tool allow user download personal information company maintain tool initially available eu resident available us well proponent industry self regulation downplay power reside hand big tech say consumer free take business elsewhere gizmodo kashmir hill try take advice quit google early year discover easy say tech giant control everything login system use many online service font appear million website simply practical live modern life outside reach big tech need well reasonable option congress adopt comprehensive privacy law guarantee individual ownership control personal information need regulatory framework require informed consent encourage transparency enforce right privacy,CNN.com
Big Tech can't be trusted. It's time for regulation,By Mike Chapple for CNN Business Perspectives,2019-04-30T00:00:00Z,U.S. Federal,,News,853,editor note mike chapple associate teaching professor information technology analytic operation university notre dame mendoza college business opinion express commentary  big tech spotlight good reason past couple year onslaught incident shake public confidence major technology firm facebook apologize allow cambridge analytica harvest personal information 80 million user google shut social network wake report fail disclose serious security vulnerability could reveal private information many 500000 user company say find evidence datum actually misuse couple month later marriott announce data breach affect 500 million individualsit become clear big tech trust govern time regulator step michael beckerman president ceo internet association technology industry lobbying group speak milken institute global conference week remind attendee technology force good improve life true doubt artificial intelligence transform medicine online learning democratize education technology business create economic opportunity earn industry free pass justify bad behavior inadequate privacy practice consumer justifiably lose confidence big tech yougov survey release last week show 80 americans trust facebook google dropbox seem like time major privacy scandal hit news congress hold another series hearing grim faced politician cluelessly question smug technology executive nothing change decade since congress pass last major privacy law united states 2010 update health care privacy requirement privacy law woefully inadequate target specific use specific category information health insurance portability accountability act prevent doctor share medical record without consent stop apple share health information apple watch apple good track record come privacy maker iphone app accuse share health information facebook gramm leach bliley act prevent bank share financial record apply facebook amazon express interest enter financial space united states lack kind comprehensive privacy law would grant individual control information wherever reside big tech worry regulation costly interfere growth consumer mean assert control datum balanced regulatory regime impossible fantasy european union make great stride toward goal implementation general data protection regulation gdpr law apply broad category personal information across industry offer individual basic protection require company obtain consent collect personal information disclose use information collect provide mechanism consumer request deletion personal information corporate file gdpr also require company promptly disclose datum breach regulator affected individual gdpr go effect last year still early see real impact early indication law positive impact globally within european union seek comply gdpr apple roll privacy tool allow user download personal information company maintain tool initially available eu resident available us well proponent industry self regulation downplay power reside hand big tech say consumer free take business elsewhere gizmodo kashmir hill try take advice quit google early year discover easy say tech giant control everything login system use many online service font appear million website simply practical live modern life outside reach big tech need well reasonable option congress adopt comprehensive privacy law guarantee individual ownership control personal information need regulatory framework require informed consent encourage transparency enforce right privacy tm amp  2019 cable news network inc time warner company right reserve,CNN Wire
"Big tech can't dodge blame for data hacks or fake news, says Apple boss",Tom Knowles,2019-06-18T00:00:00Z,California; International,,News,532,chief executive apple criticise big technology company urge take responsibility chaos factory create speech student stanford university california tim cook say silicon valley become well know loss privacy spread hate speech invention iphone social medium mr cook name company previously criticise google facebook enough make sure user datum protect call great regulation tech company last year say unlike facebook founder mark zuckerberg would never become embroil situation like cambridge analytica scandal datum 87 million facebook user obtain firm mr zuckerberg condemn remark extremely glib speech graduate mr cook also make dig theranos disgraced blood testing start describe today trouble tech industry lately seem industry become well know less noble innovation belief claim credit without accept responsibility mr cook say see every day every data breach every privacy violation every blind eye turn hate speech fake news poison national conversation false miracle exchange single drop blood many seem think good intention excuse harmful outcome whether like build create define mr cook criticise try preserve tech industry image bastion free idea despite failure curb negative effect could society feel bit crazy anyone say build chaos factory dodge responsibility chaos take responsibility mean courage see thing people simply accept normal unavoidable everything life could aggregate sell even leak event hack lose freedom human apple boss claim loss privacy alongside rise surveillance technology like facial recognition software chilling effect society people would begin censor hope less imagine less dare less say ironically kind environment would stop silicon valley even started mr cook consistently describe apple fundamentally different privacy competitor apple mobile device think collect use less datum user rival google android operating system datum device collect user scramble individual identify google contrast take specific information user create personalised service however apple involve court battle whether use monopoly power raise price iphone app think comply china censorship datum storage law,The Times (London)
Big tech causing greatest disruption to banking and insurance markets.(INBOX),,2017-10-01T00:00:00Z,U.S. Federal; Michigan,,News,838,financial institution drive become experience drive open door potential competition global technology giant accord report world economic forum report beyond fintech pragmatic assessment disruptive potential financial services say challenge bank insurer large technology firm hollow value proposition institution carry core function even bank insurer lean ever heavily compete another finding report aim examine impact innovation financial ecosystem fintech start achieve success term change basis competition less impact expect disrupt competitive landscape partnership bank large tech company risk stay reciprocal one say jesse mcwaters lead author study world economic forum financial institution increasingly rely technology firm strategically sensitive capability far offer ongoing business return report draw interview workshop hundred financial technology expert highlight cloud computing customer face artificial intelligence big datum customer analytic three capability become critical competitive differentiation financial institution three domain technology giant like amazon google facebook far deep experience financial service counterpart scale effect make difficult financial institution catch result many bank insurer turn technology firm provide core function statement world economic forum say example include amazon web services provide service dozen finance company include aon capital one carlyle nasdaq pacific life stripe brazil banco bradescofacebook app allow customer conduct day day banking facebook rely social network customer datum analytic target user capital one liberty mutual alexa solution  allow customer check balance pay bill track spending device partnership accelerate innovation report point also pose risk large technology player choose enter financial service direct competition retail bank insurer tech giant would able pick choose point entry financial service maximise strength like rich dataset strong brand take advantage incumbent institution dependence say mcwaters result financial institution likely need walk challenging line capitalise service large technology player become dependent customer entry large technology firm financial service could mean entrust financial non financial datum company policy maker would raise serious question good avoid anticompetitive behaviour inappropriate use personal datum decisionmaking finding suggest move away focus potential competitive threat high tech financial service start typically call fintech much research include world economic forum 2015 report future financial services suggest niche fintech could stage broad disruption financial system deeply influence direction innovation industry grow doubt ability directly challenge incumbent financial institution fintechs change basis competition financial service competitive landscape say rob galaski partner deloitte canada co author report fintechs define tempo direction innovation financial service high customer switching cost rapid response incumbent challenge ability scale another report finding note emergence distinct financial system china europe united states raise concern international regulatory coordination report observe china large technology company like ant financial  tencent  emerge lead provider range financial service striking departure traditional bank lead model dominant united states meanwhile europe forthcoming enactment second payment services directive  expect open bank customer datum create environment active competition incumbent new entrant full report see,ASAPII Database
BIG TECH CENSORS: Social media continues to gag conservative voices,,2019-06-24T00:00:00Z,U.S. Federal; International,,News,1026,another onslaught censorship disrupt internet youtube nix thousand video pretense remove hate speech neo nazism white supremacy catch mid june speech crackdown right wing journalism outfit project veritas one youtube video censor video appear show social medium platform pinter staff censoring pro life group live action categorize group pinterest porn domain block list twitter time late youtube censorship remove tweet project veritas founder james okeefe contain information pinterest story twitter justification censoring tweet violate someone personal privacy okeefe challenge twitter censorship insincere twitter decide investigative journalism violation term service project_veritas temporarily suspend post tweet internal communication pinterest show call benshapiro white supremacist first time silicon valley tech giant censor someone sync last fall youtube facebook twitter ban firebrand right wing conspiracy theorist alex jones infowars within day recent wave censorship elicit tweet president donald trump twitter let ban conservative voices  back onto platform without restriction call freedom speech remember make giant mistakein canada politician largely remain mum social medium censorship issue bubble uoft professor jordan peterson launch second defamation lawsuit jordan peterson launch defamation suit wilfrid laurier university facebook ban louis farrakhan alex jones hate speech faith goldy among 6 canadians group ban facebook instagram hate beginning june mark steyn lindsay shepherd john robson speak justice committee free speech online hate mps include conservatives  vote kill video feed three free speech defender past canadians censor questionable circumstance former rebel media journalist right wing vlogger lauren southern boot crowdfunde platform patreon  2017 left wing advocacy group lobby vancouver base feminist activist journalist meghan murphy permanently ban  twitter late 2018 say man woman canadian conspiracy theorist news outfit press truth facebook page 350000 follower permanently delete fall 2018 supposedly spamme user mid may prime minister justin trudeau announce digital charter regulate internet crackdown hate speech liberal federal government also close tie tech giant meet exec register lobbyist several political staffer formerly work one main tech giant impending election fact raise concern whether social medium platform bastion free flow information debate october jordan peterson new social medium platformbest sell author clinical psychologist university toronto professor jordan peterson launch new anti censorship social medium platform call thinkspot world famous psychologist decide create new social medium platform response repeat gagging conservative thinker facebook twitter patreon first tease thinkspot video discussion ufc commentator comedian joe rogan subscription service partly make replacement patreon degree want able monetize creator say peterson platform take unless order court law basically idea try make anti censorship platform thinkspot first time someone try create alternative social medium platform rival big tech giant dominance gab found 2017 suppose alternative twitter would free speech absolutist quickly devolve echo chamber neo nazis white supremacist alt right ilk peterson attempt strike centre right tone bat add roster free thinker alongside social medium platform popular right wing vlogger carl benjamin  hedge fund manager well sell author james altucher podcaster retire united states navy sea jocko willink science writer historian michael shermer youtube personality dave rubin ratio vote vote fall 5050 comment hide peterson say anyone sign beta version thinkspot launch june 16 peterson say still kink work able host wide online community would nice censorship free platform could figure say peterson,Toronto Sun
Big tech CEO hearing more 'headline risk' than significant threat experts,Anna Akins,2020-07-29T00:00:00Z,U.S. Federal,,News,618,top executive facebook inc alphabet inc amazoncom inc apple inc gear defend business practice capitol hill analyst industry observer largely expect bark bite lawmaker facebook ceo mark zuckerberg alphabet ceo sundar pichai amazon ceo jeff bezos apple ceo tim cook set testify virtually july 29 house judiciary antitrust subcommittee hear examine whether company outsize market influence whether business activity harm consumer expert note hearing present headline risk company near term say likely result meaningful policy change anytime soon wedbush securities analyst daniel ives say washington increase scrutiny large tech company present near term uncertainty headline risk overall anticipate fine likely outcome investigation rather significant business model change remain firmly bullish faang name however keep close eye anti trust momentum building big tech write facebook ceo mark zuckerberg testify acongressional hearing 2018source ap photo july 29 hearing part broad investigation launch subcommittee june 2019 explore competition digital marketplace senior committee aide recently tell reporter intention hearing committee investigation document competition problem online assess whether current antitrust law enforcement level adequate alphabet google llc unit face investigation department justice several state attorney general company potentially monopolistic behavior online advertising marketplace doj reportedly prepare file antitrust lawsuit google early summer state attorney general likely file similar case fall amazon facebook also face probe federal trade commission amazon ftc examine company relationship third party seller account half amazon total unit sale online facebook already reach 5 billion settlement agreement ftc 2019 relate violation 2012 order regard social platform user datum practice facebook also separate antitrust investigation group state attorney general apple meanwhile come fire regulator lawmaker across globe app store policy charge 30 commission app developer developer company allege result choice high price consumer though isaac boltansky director policy research independent investment firm compass point note july 29 hearing blockbuster event doubt alter trajectory policy considerable amount tough talk  sense majority lawmaker distract bright light confound multitude potential topic boltansky write report carl szabo vice president general counsel netchoice trade association promote free expression free enterprise internet note interview could difficult regulator prove big tech cause consumer harm key evaluation tool use antitrust case give continue popularity tech service go much political theater enforceable antitrust law say,SNL Kagan Media & Communications Report
Big Tech CEOs Could Face Regulation Judgment Day at Wednesday's Antitrust Hearing,Alexander Hall,2020-07-28T00:00:00Z,U.S. Federal; Rhode Island,,News,545,jul 28 2020  tomorrow hearing look like regulation judgment day ceo four america large tech company wednesday ceo four major big tech company include amazon ceo jeff bezos apple ceo tim cook google ceo sundar pichai facebook ceo mark zuckerberg testify house committee judiciary antitrust commercial administrative law subcommittee decade silicon valley giant permit expand essentially free government regulation past hearing give impression congress could tame even want big tech may reckoning time congress homework wired report  july 28the hearing antitrust subcommittee house judiciary committee lead rhode island democrat david cicilline cap investigation begin june 2019 yield million document wired explain major test whether federal lawmaker finally understand make big tech tick whether vision make tick differently wired give two major reason hearing reckoning big tech unlike see first 15member antitrust subcommittee ask question entire judiciary committee look enter juicy finding congressional record second area relative bipartisanship time historic polarization democrats lead charge congressional republicans also real concern platform effect competition bipartisan grievance may play major role whether hearing strike decisive blow big tech establishment indeed come time overwhelming majority  americans side politic skeptical big tech unchecked power pew research center study find overall 72 adult say social medium company much power influence politic today accord june 16 22 survey pew facttank observe  july 22 addition half americans survey also believe government regulate big tech company whose power appear unchecked conservative attack give house judiciary antitrust commercial administrative law subcommittee call 202 225 3951 demand big tech hold accountable censor contact us media research center contact form     ,Newstex Blogs
