CEOs of big tech firms to appear before Congress,,2020-07-29T00:00:00Z,U.S. Federal; International; Rhode Island,,Web News,0,congress rare opportunity wednesday consider whether tech giant break due antitrust concern ceo amazon google apple facebook testify remotely house judiciary committee hearing start noon wednesd congress rare opportunity wednesday consider whether tech giant break due antitrust concern ceo amazon google apple facebook testify remotely house judiciary committee hearing start noon wednesday hearing begin may hard tell powerful person room google control nearly internet search united states rep david cicilline rhode island say amazon control nearly half online commerce united states facebook approximately 27 billion monthly active user across platform finally apple increase scrutiny abuse role player referee app store year long congressional investigation look way check power expert say require new understanding competition law  major point hearing move away conception competition law focus well citizen purchaser good service adopt broad conception look citizen employee resident community consumer news willam kovacic former chairman federal trade commission say four company deny anti competitive behavior last week apple even commission study find app store commission rate line company several large tech company voice concern congressional regulation might make less competitive globally worry regulate sake regulate lot unintended consequence say sundar pichai ceo google parent company alphabet take technology like artificial intelligence implication national security important area society even covid19 pandemic make tech company essential valuable face grow backlash protest take place across country safety concern amazon warehouse advertiser boycott facebook site failure properly police hate speech think come hearing halo great concern exactly whose side matter concern kovacic say look mood congress look republicans join democrats today scold company combustible environment lead enterprise house investigation expect lead recommendation new legislation perhaps bring along great scrutiny tech acquisition like facebook purchase whatsapp instagram google purchase youtube fitbit could also ramp pressure ongoing investigation large tech company,WebNews - English
"CEOs of Facebook, Amazon face Congress as Trump demands crackdown on ‘Big Tech’",,2020-07-29T00:00:00Z,U.S. Federal; International; New Mexico; Ohio; Rhode Island; Texas,,Web News,0,washington four big tech ceo facebook mark zuckerberg amazon jeff bezos sundar pichai google tim cook apple answer company practice congress house panel cap yearlong investigation market dom washington four big tech ceo facebook mark zuckerberg amazon jeff bezos sundar pichai google tim cook apple answer company practice congress house panel cap yearlong investigation market dominance industry powerful executive defend company buttress competition offer essential service consumer four ceo testify remotely hearing wednesday house judiciary subcommittee antitrust zuckerberg bezos among tech leader testify congress antitrust president donald trump meanwhile continue denounce big tech company accuse without evidence bias conservative general tweet challenge congress crack company congress bring fairness big tech year ago executive orders trump tweet start hearing washington talk action year people country sick tired congress bring fairness big tech year ago executive orders washington talk action year people country sick tired donald j trump  july 29 2020 executive order limited scope law pass congress though force law president use executive order alter federal statute take congressional action trump justice department urge congress roll back long hold legal protection online platform facebook google twitter propose change would strip bedrock protection generally shield company legal responsibility people post platform 115 kenney say fed tell google apple work province trace app kenney say fed tell google apple work province trace app four tech ceo command corporation gold plate brand million even billion customer combine value great entire german economy one bezos world rich individual zuckerberg fourth rank billionaire critic question whether company stifle competition innovation raise price consumer pose danger society bipartisan investigation judiciary subcommittee collect testimony mid level executive four firm competitor legal expert pore million internal document company key question whether exist competition policy century old antitrust law adequate oversee tech giant new legislation enforcement funding need turkey pass social medium regulation bill could increase online censorship subcommittee chairman rep david cicilline rhode island democrat call four company monopoly although say break last resort force breakup may appear unlikely wide scrutiny big tech point toward possible new restriction power simply put much power cicilline say opening remark wednesday lay datum point power four tech company essential cogs commerce communication also say wake coronavirus pandemic giant stand profit become even powerful million shift work commerce online trend stories canada investigate report unsolicited seed deliver mail charity scandal kielburger brother latinos hit hard coronavirus surge 6 state report record death company face legal political offensive multiply front congress trump administration federal state regulator european watchdog justice department federal trade commission investigate four company practice veer issue market competition lead conservative republican panel air longstanding grievance big tech company censor conservative viewpoint big tech get conservative say rep jim jordan ohio trump back doctor believe covid19 cure demon sperm company distinct profile tech titan approach story tell bezos preside e commerce empire venture cloud computing personal smart tech beyond first ever appearance congress bezos introduce way hearing testimony unusual occasion lay challenging life story grow new mexico son single mother high school later adoptive father emigrate cuba 16 preview write testimony blog post tuesday bezos trace origin garage inventor come concept online bookstore 1994 address issue amazon power describe huge competitive global retail market company account less 4 retail bezos maintain affirm rebuff critic call company break walmart twice amazon size say 126 activist paint mural outside jeff bezos home demand ppe amazon worker activist paint mural outside jeff bezos home demand ppe amazon worker bezos initially decline testify unless could appear ceo likely face question wall street journal report find amazon employee use confidential datum collect seller online marketplace develop compete product previous hearing amazon executive deny accusation wake george floyd death protest racial injustice facebook handling hate speech recently draw fire issue competition privacy especially facebook refusal take action inflammatory trump post spread misinformation voting mail critic say encourage violence protester 141 facebook mark zuckerberg review content policy backlash facebook mark zuckerberg review content policy backlash zuckerberg say company aim allow much free expression possible unless cause imminent risk specific harm damage believe value democracy competition inclusion free expression american economy build say testimony prepare hearing understand people concern size perceive power tech company zuckerberg statement say ultimately believe company make many judgment important issue like harmful content privacy election integrity call active role government regulator update rule internet european regulator conclude google manipulate search engine gain unfair advantage online shopping site e commerce market fine google whose parent alphabet inc record 27 billion google dispute finding appeal 226 facebook google suspend china datum request tiktok pull hong kongfacebook google suspend china datum request tiktok pull hong kong attorneys general party 50 state territory lead texas launch antitrust investigation google september focus online advertising business google operate highly competitive dynamic global market price free fall product constantly improve pichai say write testimony competition ad twitter instagram pinterest comcast help low online advertising cost 40 last 10 year saving pass consumer low price trump say ask putin taliban bounty report call fake news apple whose iphone third large seller world face eu investigation fee charge app store technical limitation allegedly shut competitor apple pay apple dominant market share market business cook say make case fee apple charge app sell service good reasonable especially compare tech company collect decade since app store launch never raise commission add single fee cook say testimony,WebNews - English
CEOs of top American tech firms to be questioned on July 27 over antitrust hearing,,2020-07-07T00:00:00Z,U.S. Federal; International,,Web News,0,washington jul 7  ceo four big us tech giant include google sundar pichai appear virtually question front house judiciary committee july 27 part antitrust hearing investigate competition washington jul 7  ceo four big us tech giant include google sundar pichai appear virtually question front house judiciary committee july 27 part antitrust hearing investigate competition online marketplace apple tim cook facebook mark zuckerberg google pichai amazon jeff bezos testify antitrust panel work proposal reform regulate digital market washingtonexaminercom report monday jerry nadler chairman democrat lead committee david cicilline democratic leader house judiciary antitrust subcommittee say testimony four ceo essential complete investigation play central role life american people since last june subcommittee investigate dominance small number digital platform adequacy exist antitrust law enforcement nadler cicilline say statement give central role corporation play life american people critical ceo forthcoming say start testimony essential us complete investigation statement say hearing set july 27 house rule coronavirus pandemic witness member allow appear virtually statement say attorney general william barr say late june would soon decide action justice department take broad investigation big tech company washington examiner report monday us justice department open sweeping antitrust review online platform threaten silicon valley powerful company democrats like senator elizabeth warren say facebook amazon split republicans raise concern major online company gain much power report say pti rup akj rup rup,WebNews - English
CEOs of top American tech firms to be questioned on July 27 over antitrust hearing,,2020-07-07T00:00:00Z,U.S. Federal; International,,Web News,0,washington jul 7  ceo four big us tech giant include google sundar pichai appear virtually question front house judiciary committee july 27 part antitrust hearing investigate competition washington jul 7  ceo four big us tech giant include google sundar pichai appear virtually question front house judiciary committee july 27 part antitrust hearing investigate competition online marketplace apple tim cook facebook mark zuckerberg google pichai amazon jeff bezos testify antitrust panel work proposal reform regulate digital market washingtonexaminercom report monday jerry nadler chairman democrat lead committee david cicilline democratic leader house judiciary antitrust subcommittee say testimony four ceo essential complete investigation play central role life american people since last june subcommittee investigate dominance small number digital platform adequacy exist antitrust law enforcement nadler cicilline say statement give central role corporation play life american people critical ceo forthcoming say start testimony essential us complete investigation statement say hearing set july 27 house rule coronavirus pandemic witness member allow appear virtually statement say attorney general william barr say late june would soon decide action justice department take broad investigation big tech company washington examiner report monday us justice department open sweeping antitrust review online platform threaten silicon valley powerful company democrats like senator elizabeth warren say facebook amazon split republicans raise concern major online company gain much power report say pti rup akj rup rup disclaimer story edit outlook staff auto generate news agency feed source pti website outlook magazine,WebNews - English
CEOs of top US tech firms to be questioned...,,2020-07-07T00:00:00Z,U.S. Federal; International,,Web News,0,ceo four big us tech giant include google sundar pichai appear virtually question front house judiciary committee july 27 part antitrust hearing investigate competition online marketplac ceo four big us tech giant include google sundar pichai appear virtually question front house judiciary committee july 27 part antitrust hearing investigate competition online marketplace apple tim cook facebook mark zuckerberg google pichai amazon jeff bezos testify antitrust panel work proposal reform regulate digital market washingtonexaminercom report monday jerry nadler chairman democrat lead committee david cicilline democratic leader house judiciary antitrust subcommittee say testimony four ceo essential complete investigation play central role life american people since last june subcommittee investigate dominance small number digital platform adequacy exist antitrust law enforcement nadler cicilline say statement give central role corporation play life american people critical ceo forthcoming say start testimony essential us complete investigation statement say hearing set july 27 house rule coronavirus pandemic witness member allow appear virtually statement say attorney general william barr say late june would soon decide action justice department take broad investigation big tech company washington examiner report monday us justice department open sweeping antitrust review online platform threaten silicon valley powerful company democrats like senator elizabeth warren say facebook amazon split republicans raise concern major online company gain much power report say,WebNews - English
CEOs say these 4 factors will shape business in 2020,,2020-02-19T00:00:00Z,International,,News,922,cologny world economic forum issue follow press release half ceo believe rate global economic growth decline accord pwc annual global ceo survey uncertainty fuel record level pessimism climate change could provide positive opportunity company across globe business boss show record level pessimism economic growth new report find one thing behind lack confidence uncertainty pwc annual global ceo survey represent view almost 1600 chief executive 80 territory find number confident revenue grow 2020 low level since 2009have readwhat mean global ceo change world ceo really think ai 79 ceo believe global climate actionthe result make interesting reading ceo revenue confidence pwc say reliable indicator trend global gdp growth four key thing top boss mind 20201 rocky road growthceo shift record optimism toceo view economic growth change past two year image pwctwo year ago pwc survey find record level optimism today different story fact percentage ceo think rate global gdp growth decline increase tenfold time 5 53uncertainty fuel fear report say regulation see top challenge follow concern uncertain economic growth trade conflict climate change cyber threats2 technology regulationmost ceo forsee legislation internet content breakup big tech company compensation personal dataceo prediction tech regulation image pwcmany ceo think internet become fractured lack global regulation lead government increasingly introduce legislation globally 50 think local law around content commerce privacy create splintered internet 40 say become less fractured nearly 7 10 ceo foresee increase legislation around content regulation break dominant tech company report say ceo increasingly need collaborate government solution around technology datum use protect consumer foster innovation become important fourth industrial revolution  advance use technology like artificial intelligence increase world economic forum fourth industrial revolutionthe world economic forum first draw world attention fourth industrial revolution current period unprecedented change drive rapid technological advance policy norm regulation able keep pace innovation create grow need fill gap forum establish centre fourth industrial revolution network 2017 ensure new emerge technology help harm humanity future headquartered san francisco network launch centre china india japan 2018 rapidly establish locally run affiliate centre many country around world world economic forum centre fourth industrial r global network work closely partner government business academia civil society co design pilot agile framework govern new emerge technology include artificial intelligence  autonomous vehicle blockchain data policy digital trade drone internet thing  precision medicine environmental innovation learn groundbreaking work centre fourth industrial revolution network prepare us future want help us shape fourth industrial revolution contact us find become member partner effective upskille programmesceo answer effective upskille programme achieve certain outcomesimage pwcas 4ir introduce new way work new technical digital soft skill require short supply accord report lead consensus among ceo retrain upskille important route close potential skill gap organization 18 global ceo report significant progress establish program help employee firm make progress upskille say see well business outcome result include strong corporate culture high productivity great innovation4 change climateceos answer benefit invest climate change initiativesceos increasingly recognize benefit climate change initiative image pwcceos today likely see benefit invest climate change initiative 10 year ago although pwc acknowledge appreciation upside take action still subdue since 2010 number strongly agree green practice boost company reputation key stakeholder include employee almost double 30 number think initiative lead significant product service opportunity see similar rise 13 25,Impact News Service
#CEP: Tech companies talk rights rather than responsibilities,Guest contributor,2018-04-19T00:00:00Z,U.S. Federal,,News,1031,apr 19 2018  european union recently pressure social medium company remove terrorist material platform grow frustrate continue presence dangerous content online eu commission call tech firm remove radicalize material within one hour notify existence still need react fast terrorist propaganda illegal content serious threat citizen security safety fundamental right digital commissioner andrus ansip say write counter extremism project  executive director david ibsen  europe continue justifiably alarm see many citizen become victim terrorist continue inspire train material readily available online response edima european trade association represent tech giant like google youtube facebook twitter eu commission late voluntary standard disappointing predictable tech industry response reveal widen chasm powerful profit technology company dedicated protect public many see regulation industry inevitable rather acknowledge harm radicalize extremist material perpetrate accept responsibility pledge dedicate requisite resource guarantee measure permanent removal prohibit extremist content tech industry edima instead stress need balance responsibility protect user uphold fundamental right rhetoric course patently absurd represent tech attempt distract policy discussion public safety security spin nebulous unserious suggestion design prevent meaningful reform bizarre tech industry declare protector fundamental right writ large profit company edima argue one hour takedown period could detrimental tech ability somehow uphold fundamental right user company rhetoric remain vague define right whether private corporation position define right right claim protect strain credulity believe tech company profit entity whose business model base sell advertising glean user datum could committed protect right government elect official moreover saying go action speak louder word much tech industry would like us believe otherwise track record issue lack tech company may tout support free speech example regularly remove content time include expressly legal content base rule enshrine term service general public lawmaker let tech clever rhetoric obscure obvious issue continue failure tackle extremism online effective manner must compare tech speech tech action technology company truly interested right freedom beyond interest transparency maybe could list explicitly way public evaluate whether right protect constrain whim term service enforcement action return freedom expression example express oneself social medium platform truly fundamental right surely social medium company world great violator user fundamental right remove copious amount user post content time little notification essentially whim corporate leader tech company want us believe work hard make world well place frequent medium statement replete sincere apology vow well aftermath successive terrorist attack often detail purported progress combat hateful material platform unvarnished truth progress make technology company take extremist content due threat reputational harm lose ad revenue prospect regulation see march last year google profusely apologize make change advertisement discover alongside extremist content youtube trouble see online incorporated society british advertisers call independent body regulate content social medium platform base common set standard unilever recently go step far warn tech firm retain advertising depend tech company control proliferation extremist material fake news child exploitation racism sexism follow revelation facebook misuse user datum increasingly difficult believe big tech company care much terrorist extremist content hate speech child pornography fake news disturbing issue infect platform edima response measured set recommendation eu commission clearly reveal absent significantly pressure consumer advertiser lawmaker tech company plan continue resist industry wide standard remove extremist content deploy exist technology capable detect prevent upload material instead big tech company continue talk right rather responsibility behavior call question long allow get away david ibsen serve executive director thecounter extremism project  profit non partisan international policy organization form combat grow threat extremist ideology ,Newstex Blogs
